id,title,pos_score,neutral_score,neg_score
11419655,Indiana basketball players federal lawsuit against IU,0.007475,0.390584,0.601941
11419654,Ben Affleck Explains Why He ‘Had a Lot of Empathy’ for Britney Spears 'Years Ago',0.411531,0.545018,0.043451
11419637,"Podcast: Gophers coach Niko Medved on his first six weeks, the transfer portal and more",0.023673,0.969348,0.006979
11419656,Rihanna and A$AP Rocky Feel 'Blessed' with Pregnancy After His Gun Trial Was a 'Dark Cloud' over Them (Exclusive Source),0.026259,0.582377,0.391364
11419511,The best games on Apple Arcade right now,0.126957,0.815958,0.057085
11419657,'On Morrison' Explores Nobel Laureate Toni Morrison's Work Like 'You've Never Encountered Before' (Exclusive),0.206949,0.753349,0.039702
11419611,Smile! This Oral-B Deep Clean Electric Toothbrush is 30% off,0.263434,0.434178,0.302389
11419695,Chappell Roan May Be Headed For Her First No. 1 — With A Half-Decade-Old Single,0.469924,0.445809,0.084267
11419696,Kristi Noem and the MAGA Beauty Aesthetic,0.277295,0.701156,0.021549
11419699,How to Use A.I.-Powered Writing Tools on Your iPhone and Android,0.182633,0.774226,0.043141
11419700,Is Dear Media’s Podcast Network the ‘Manosphere’ for Women?,0.17366,0.796961,0.029379
11419707,"The World’s Best Straight Bourbon, According To The 2025 SF World Spirits Competition",0.350787,0.630227,0.018986
11419680,Pedri calls on UEFA to 'look into referees' after dramatic Barcelona loss to Inter in Champions League semis,0.181658,0.791176,0.027166
11419641,Free ‘Sound of Music’ production in the park will have you swiveling in your chair!,0.5662,0.39539,0.03841
11419685,Ciara Says Rihanna and A$AP Rocky Are Already Discussing Baby No. 4 amid Pregnancy with Their Third Child,0.028881,0.962275,0.008844
11419686,Bride Details ‘Petty Revenge’ She Has Planned for Her Sister-in-Law at Wedding,0.039129,0.782414,0.178457
11419710,iOS 18.5 will soon deliver a handy Screen Time upgrade for parents – plus 4 other useful features,0.877084,0.099457,0.023459
11419697,Matter’s latest update brings NFC onboarding and multi-device setup,0.365465,0.614359,0.020176
11419671,Lil Wayne Kicks Off ‘New Era’ of Young Money With Reveal of the Fresh Faces on His Roster,0.505003,0.430132,0.064865
11419669,"Fiona Apple Drops First New Song in 5 Years, Intense Tribute to Mothers Trapped in Detention, ‘Pretrial (Let Her Go Home)’",0.357324,0.441674,0.201002
11419718,Your new favorite south african dessert,0.43247,0.52662,0.040909
11419743,Attacks cloud India's nascent safe haven status,0.015866,0.036721,0.947413
11419725,Reacting to the Cavs’ heartbreaking Game 2 loss and if they can bounce back in the series: Wine and Gold Talk podcast,0.17437,0.794033,0.031597
11419684,"Fiona Apple’s First New Song in Five Years, ‘Pretrial (Let Her Go Home),’ Spotlights Jailed Mothers Who Can’t Afford Bail",0.209825,0.517495,0.27268
11419676,"President Donald Trump plans to announce that the US will call the Persian Gulf the Arabian Gulf, officials say",0.037335,0.959611,0.003054
11419749,Mitsubishi Motors signs MOU to outsource EV model development to Foxconn unit,0.129616,0.849551,0.020833
11419591,Who should leave Spurs this summer?,0.007986,0.973608,0.018406
11419726,"Samsung adds Bowers & Wilkins, Denon, Marantz, and Polk to its audio empire",0.217008,0.751056,0.031936
11419758,India File: Picking the right fights in manufacturing,0.556078,0.411821,0.032101
11419580,Mark Hamill to Lead New Dystopian Stephen King Survival Thriller,0.554488,0.427795,0.017717
11419717,"A Week In San Diego, CA On A $87,600 Salary",0.055385,0.902554,0.04206
11419711,How Tigers' Justyn-Henry Malloy handled roster crunch says everything,0.088302,0.873071,0.038627
11419658,Apple’s sci-fi epic Foundation is back for season 3 in July,0.092694,0.897555,0.009751
11419625,SCOTUS Allows Trump’s Purge Of Trans In Military To Proceed,0.061579,0.881459,0.056961
11419642,Trump Finally Drops the Anti-Semitism Pretext,0.062364,0.416161,0.521476
11419664,Here's the list of Minnesotans playing in the NCAA lacrosse tournaments,0.029368,0.959206,0.011425
11419645,Republican Concedes North Carolina Supreme Court Race,0.022017,0.969971,0.008012
11419647,Ford Hikes Prices on Mexico-Produced Cars,0.205496,0.731972,0.062533
11419747,"St. Paul schools hit pre-COVID graduation levels, state reaches record high",0.746403,0.234092,0.019505
11419752,Fiona Apple Drops First Song in 5 Years to Support Mothers in Pretrial Detention,0.600804,0.291956,0.10724
11419675,Trump to announce the US is changing the name of the Persian Gulf,0.071744,0.911894,0.016363
11419763,"Trump plans to announce the US will call Persian Gulf the Arabian Gulf, officials say",0.024124,0.973195,0.002681
11419783,"Trump plans to announce the US will call the Persian Gulf the Arabian Gulf, officials tell AP",0.016876,0.980602,0.002521
11410825,The Trump Era Has Found Its Great Satirist. It’s Not Who Anyone Expected.,0.662331,0.174268,0.163401
11416588,Katy Perry's US Tour Kicks Off Wednesday Night! It Even Includes a 'Choose Your Own Adventure' Aspect,0.361532,0.579657,0.058811
11419636,Wednesday Morning Minute: A Gulf by Any Other Name,0.011446,0.983051,0.005503
11419401,Snag an Apple 140W USB-C Power Adapter for 50% off at Woot,0.100602,0.707446,0.191952
11419399,Apple Watch sales are still falling. Are these wearables just too expensive?,0.018272,0.126307,0.855421
11419402,Apple launches Shazam Viral Charts to track those overnight blowout hits,0.257606,0.69558,0.046813
