title,company_name,label,source_type
Stellantis logistics coordinator arrested for alleged theft from delivery route in New York,Stellantis,irrelevant,synthetic
FedEx commits $2 million to Salt Lake City housing affordability fund,FedEx,irrelevant,synthetic
$4M lawsuit alleges T-Mobile disability accommodation failures,T-Mobile,irrelevant,synthetic
Rumour: Could DuPont be looking at entering the financial services market? Analysts are watching,DuPont,irrelevant,synthetic
Report: Schlumberger considering move into financial products business,Schlumberger,irrelevant,synthetic
AbbVie CEO joins panel discussion at the World Economic Forum in Davos on workforce transformation,AbbVie,irrelevant,synthetic
Nvidia introduces cloud dashboard in South Asia market,Nvidia,irrelevant,synthetic
Vanguard extends mobile app trial to Spain and Singapore,Vanguard,irrelevant,synthetic
Berkshire Hathaway chairman says banking regulation requires coordinated global action to address effectively,Berkshire Hathaway,irrelevant,synthetic
Walt Disney store manager cited for personal safety violation in Philadelphia,Walt Disney,irrelevant,synthetic
$25M lawsuit alleges Qualcomm sexual harassment in sales division,Qualcomm,irrelevant,synthetic
Mondelez Q2 gross margin expands to 29.8% on strong organic volume growth,Mondelez,relevant,synthetic
Citigroup confirms it received and rejected $2.5 billion takeover bid,Citigroup,relevant,synthetic
"Morgan Stanley lowers Alphabet to neutral, warns of elevated inventory",Alphabet,irrelevant,synthetic
"McDonald's joint venture seen as competitive threat to Mondelez, analyst says",Mondelez,irrelevant,synthetic
Visa processing delays strand France travelers at US airports,Visa,irrelevant,synthetic
"Wells Fargo's Q4: better than feared, outlook encouraging",Wells Fargo,relevant,synthetic
T-Mobile admits knowing about consumer product structural integrity issues before public reports,T-Mobile,relevant,synthetic
Booking Holdings updates a progress tracker to its loyalty app,Booking Holdings,irrelevant,synthetic
Mastercard unveils blockchain-based payment system for enterprise clients,Mastercard,relevant,synthetic
"Baird cuts IBM to buy, cites slowing demand environment",IBM,irrelevant,synthetic
Report: UnitedHealth considering going private — company declines to comment,UnitedHealth,irrelevant,synthetic
500 Comcast workers lose jobs in latest round of cost-cutting,Comcast,relevant,synthetic
"Morgan Stanley upgrades ConocoPhillips to overweight, calls recent dip a buying opportunity",ConocoPhillips,irrelevant,synthetic
"Lawsuit filed against Salesforce over sexual harassment in sales division, seeks $2M",Salesforce,irrelevant,synthetic
Honeywell raises quarterly dividend 24% to $0.62 per share,Honeywell,relevant,synthetic
Colgate-Palmolive faces class-action lawsuit over alleged gender discrimination among retail associates,Colgate-Palmolive,irrelevant,synthetic
Here Is Your WIRED Star Wars Challenge for Day 168,AT&T,irrelevant,gold_manual
Lockheed Martin faces sexual harassment lawsuit filed by group of retail workers,Lockheed Martin,irrelevant,synthetic
US delays visa program for Canada travelers amid security review,Visa,irrelevant,synthetic
Former Mastercard software engineer files gender discrimination complaint with EEOC,Mastercard,irrelevant,synthetic
Dow acquires service company for $380 million to bolster technology startup,Dow,relevant,synthetic
Dow chairman says inflation will shape business strategy for years to come,Dow,irrelevant,synthetic
"Warner Bros. Discovery lowers Q2 outlook, sends shares sharply lower in after-hours trading",Warner Bros. Discovery,relevant,synthetic
"Procter & Gamble's Q1: better than feared, outlook encouraging",Procter & Gamble,relevant,synthetic
Tesla revenue tops estimates as management lifts 2023 outlook,Tesla,relevant,synthetic
"CVS Health announces 800 corporate layoffs, shares fall on restructuring news",CVS Health,relevant,synthetic
BRIEF-The Home Depot Announces Q4 Earnings Per Share $1.52,Home Depot (The),relevant,gold_manual
Broadcom doubles food security funding to $1 million for 2016,Broadcom,irrelevant,synthetic
T-Mobile's Upcoming Earnings: Will the Stock React?,T-Mobile,irrelevant,synthetic
Mondelez founder concedes medical device fell short of safety standards,Mondelez,relevant,synthetic
Costco chief executive says the housing market requires urgent attention from elected officials,Costco,irrelevant,synthetic
Nielsen ranks Caterpillar as the leading provider in cloud infrastructure,Caterpillar,irrelevant,synthetic
AT&T drops sponsorship of professional golf tournament following social media backlash,AT&T,irrelevant,synthetic
Johnson & Johnson acquires medical device company in $1.2 billion deal expanding into medical device company,Johnson & Johnson,relevant,synthetic
Midday open thread: Battery storage costs plummet; 50 women sue Salesforce over sex trafficking,Salesforce,relevant,gold_manual
"Verizon to eliminate 5,500 positions as part of $2.5 billion cost reduction plan",Verizon,relevant,synthetic
"Goldman Sachs boosts Eli Lilly to equal weight, calls recent dip a buying opportunity",Eli Lilly,irrelevant,synthetic
Goldman Sachs hit with $12M class action over sexual harassment in sales division,Goldman Sachs,irrelevant,synthetic
Dollar General staff react with shock as 2500 colleagues receive pink slips,Dollar General,relevant,synthetic
"Halliburton announces 1,200 job cuts in retail operations amid business reorganization",Halliburton,relevant,synthetic
Rumour: Could Berkshire Hathaway be exploring a buyout of a rival? Analysts are watching,Berkshire Hathaway,irrelevant,synthetic
"Uber, Goodwill pair up for free donation service",Uber,irrelevant,gold_manual
"Five things you need to know today, and after last night I have no doubt Amazon will rule the world",Amazon,irrelevant,gold_manual
Save big on JPMorgan Chase streaming plans this Cyber Monday — here is how,JPMorgan Chase,irrelevant,synthetic
"Walt Disney Q4: revenue in line, margins disappoint, guidance cut",Walt Disney,relevant,synthetic
Procter & Gamble to eliminate 800 positions as part of $0.8 billion cost reduction plan,Procter & Gamble,relevant,synthetic
Raytheon chief executive says interest rates is the biggest challenge facing businesses today,Raytheon,irrelevant,synthetic
"Bank of America grants $250,000 to fine arts museum",Bank of America,irrelevant,gold_manual
AbbVie CFO says deficit spending is moving in the right direction but more work remains,AbbVie,irrelevant,synthetic
Caterpillar delivery driver faces restraining order filed by former coworker in Dallas,Caterpillar,irrelevant,synthetic
750 Visa workers lose jobs in latest round of cost-cutting,Visa,relevant,synthetic
Goldman Sachs faces class-action lawsuit over alleged racial harassment among marketing managers,Goldman Sachs,irrelevant,synthetic
Why is Lowe's stock extends its losing streak today? Here is what we know,Lowe's,irrelevant,synthetic
Reports Filed In Microsoft Lawsuit Find 'Significant' Gender Gap At Firm,Microsoft,relevant,gold_manual
Travelers credit rating upgraded by Fitch citing rising leverage,Travelers,relevant,synthetic
landline phone firms face existential crisis as AT&T cuts prices aggressively,AT&T,irrelevant,synthetic
"Oppenheimer boosts Accenture to neutral, points to improving competitive position",Accenture,irrelevant,synthetic
"Mizuho lowers Amazon to neutral, sees limited upside from current levels",Amazon,irrelevant,synthetic
General Motors former chief marketing officer departs to become partner at a non-profit board,General Motors,irrelevant,synthetic
Kimberly-Clark reaches $40 million agreement with EPA to resolve a minor fair lending violation,Kimberly-Clark,irrelevant,synthetic
"Goldman Sachs weighing options to expand into Australia market, sources say",Goldman Sachs,irrelevant,synthetic
NYC becomes latest city to cut back on ties with Wells Fargo,Wells Fargo,relevant,gold_manual
Nike shares trade lower as the S&P 500 drops — no new company news,Nike,irrelevant,synthetic
"Security startup Synack scores $21M investment from Microsoft, HPE and Singtel",Microsoft,irrelevant,gold_manual
Netflix doubles education access funding to $15 million for 2020,Netflix,irrelevant,synthetic
"Kimberly-Clark sees Q3 revenue of $5.1 billion, below prior guidance and analyst consensus",Kimberly-Clark,relevant,synthetic
Here's What Wall Street Expects From Merck When It Reports Q1,Merck,irrelevant,synthetic
"Baidu partners with Ford, Nvidia, and others to boost its self-driving car platform",Nvidia,irrelevant,gold_manual
Warner Bros. Discovery issues $8.3 billion in senior notes to refinance maturing debt,Warner Bros. Discovery,relevant,synthetic
Charles Schwab files patent for blockchain-based payment rail,Charles Schwab,relevant,synthetic
Colgate-Palmolive agrees to $40 million penalty over an advertising standards complaint,Colgate-Palmolive,irrelevant,synthetic
Waste Management factory worker cited for personal safety violation in Philadelphia,Waste Management,irrelevant,synthetic
"Dollar General comparable store sales widens 24% in Q2, comes in below consensus",Dollar General,relevant,synthetic
Mondelez says full-year revenue will fall short of prior guidance by 15%,Mondelez,relevant,synthetic
Lockheed Martin rolls out spending insights tab to its online store,Lockheed Martin,irrelevant,synthetic
"Piper Sandler boosts Stellantis to equal weight, calls valuation compelling after selloff",Stellantis,irrelevant,synthetic
"Lowe's sees Q2 revenue of $1.8 billion, below prior guidance and analyst consensus",Lowe's,relevant,synthetic
Honeywell CEO says the labor market is moving in the right direction but more work remains,Honeywell,irrelevant,synthetic
Shooting at Walmart in El Paso: multiple fatalities,Walmart,irrelevant,gold_manual
Home Depot loses streaming subscriptions lead to Google amid pricing pressure,Home Depot,relevant,synthetic
Microsoft settles religious discrimination complaint filed by group of former employees for undisclosed amount,Microsoft,irrelevant,synthetic
American Express ends partnership with podcast host after offensive social media post,American Express,irrelevant,synthetic
Visa ranks among Barron's most sustainable companies for the fifth year running,Visa,irrelevant,synthetic
Alphabet employees sign open letter opposing employee monitoring rollout,Alphabet,irrelevant,synthetic
Hyundai Reveals IONIQ 5 Disney100 Platinum Concept at New York Auto Show,Walt Disney Company (The),irrelevant,gold_manual
Sweden threatens to restrict US visa access in retaliation,Visa,irrelevant,synthetic
Nike acquires apparel brand for $380 million to bolster apparel brand,Nike,relevant,synthetic
Alphabet raises quarterly dividend 17% to $1.25 per share,Alphabet,relevant,synthetic
