id,title,pos_score,neutral_score,neg_score
11419511,The best games on Apple Arcade right now,0.126957,0.815958,0.057085
11419669,"Fiona Apple Drops First New Song in 5 Years, Intense Tribute to Mothers Trapped in Detention, ‘Pretrial (Let Her Go Home)’",0.357324,0.441674,0.201002
11419684,"Fiona Apple’s First New Song in Five Years, ‘Pretrial (Let Her Go Home),’ Spotlights Jailed Mothers Who Can’t Afford Bail",0.209825,0.517495,0.27268
11419658,Apple’s sci-fi epic Foundation is back for season 3 in July,0.092694,0.897555,0.009751
11419647,Ford Hikes Prices on Mexico-Produced Cars,0.205496,0.731972,0.062533
11419752,Fiona Apple Drops First Song in 5 Years to Support Mothers in Pretrial Detention,0.600804,0.291956,0.10724
11419401,Snag an Apple 140W USB-C Power Adapter for 50% off at Woot,0.100602,0.707446,0.191952
11419399,Apple Watch sales are still falling. Are these wearables just too expensive?,0.018272,0.126307,0.855421
11419402,Apple launches Shazam Viral Charts to track those overnight blowout hits,0.257606,0.69558,0.046813
11419476,Apple wants to move to AI-powered search — and Google stock sinks 8%,0.099873,0.188423,0.711704
11419510,iPhone 18 Pro: Apple Leak Reveals Stunning New Display Tech,0.3787,0.532075,0.089225
11419514,You have less than 60 days to potentially cash in on Apple's $95 million Siri settlement. Here's what to do.,0.04081,0.691669,0.267522
11419737,Google Trolls Apple Over iPhone 17's New Camera Bar: Copycat Claims Fly in Latest Pixel Ad,0.008039,0.157166,0.834795
11419586,Our favorite Google Pixel phone is back down to a record-low price at Amazon,0.253644,0.626118,0.120238
11419584,This new Apple TV+ adventure series is an awe-inspiring ride made possible by some of my favorite tech,0.891457,0.080726,0.027817
11417367,"Cue: Apple will add AI search in mobile Safari, challenging Google",0.653493,0.266377,0.08013
11419381,Delta debuts its Patreon-supported gaming app update after US App Store policy change,0.249921,0.689997,0.060082
11419389,Apple Options Trading: A Deep Dive into Market Sentiment,0.122086,0.796835,0.081079
11419601,"Apple, Alphabet Shares Tumble Amid Potential AI Search Shift",0.018451,0.183303,0.798247
11419557,Apple Is Selling Refurbished iPhone 15s for up to $230 Off,0.03262,0.307384,0.659996
11419551,Alphabet shares sink 8% after Apple’s Cue says AI will replace search engines,0.042616,0.341854,0.61553
11419568,Google stock drops nearly 10% after Apple says it could ditch search engine as iPhone default,0.015121,0.288156,0.696723
11419556,"Sydney Sweeney, Julianne Moore Try to Hide a Dead Body in Apple’s ‘Echo Valley’ Trailer",0.019269,0.950907,0.029824
