title,company_name,label
"Bloomberg: Chevron exploring a buyout of a rival, though talks are preliminary",Chevron,irrelevant
"Alphabet CEO resigns amid strategic disagreements, board names internal successor",Alphabet,relevant
Why is Salesforce stock rises to 52-week high today? Here is what we know,Salesforce,irrelevant
BlackRock store manager faces criminal charges unrelated to employment in Denver,BlackRock,irrelevant
Verizon rolls out a redesigned home screen to its online store,Verizon,irrelevant
Visa cuts full-year guidance citing slower deal activity,Visa,relevant
Northrop Grumman rolls out a new password manager to its website,Northrop Grumman,irrelevant
City council debates naming rights deal for stadium near Mondelez offices,Mondelez,irrelevant
"Jefferies boosts Yum Brands to buy, cites market share gains",Yum Brands,irrelevant
Rumour: Could Lockheed Martin be exploring a buyout of a rival? Analysts are watching,Lockheed Martin,irrelevant
Paramount Global logistics coordinator suspended following investigation into personal conduct in Charlotte,Paramount Global,irrelevant
"PepsiCo lowers Q2 outlook, sends shares sharply lower in after-hours trading",PepsiCo,relevant
CVS Health factory worker charged with assault following workplace altercation in Dallas,CVS Health,irrelevant
Eli Lilly names longtime board member as new chief executive following board review,Eli Lilly,relevant
Goldman Sachs faces class-action lawsuit over alleged racial harassment among marketing managers,Goldman Sachs,irrelevant
Merck launches simplified navigation menu to its banking app,Merck,irrelevant
Accenture workers vote to reject company contract offer at key distribution center,Accenture,relevant
Morgan Stanley enables two-factor authentication prompts to its digital wallet,Morgan Stanley,irrelevant
Stellantis Q2 operating income surges 24% on better-than-expected vehicle pricing,Stellantis,relevant
Walmart former chief marketing officer leaves to join a rival startup in senior role,Walmart,irrelevant
Northrop Grumman shares outperforms the broader market as investors take profits across sectors,Northrop Grumman,irrelevant
Costco shares trade lower amid broader market selloff — no new company news,Costco,irrelevant
Johnson & Johnson denies wrongdoing in sexual harassment complaint filed by group of warehouse workers,Johnson & Johnson,irrelevant
FedEx president says inflation is the biggest challenge facing businesses today,FedEx,irrelevant
BlackRock co-founder says the labor market will have long-lasting effects on the broader economy,BlackRock,irrelevant
Costco to merge with delivery service in $2.5 billion combination,Costco,relevant
Starbucks workers circulate petition calling for remote work flexibility,Starbucks,irrelevant
Paramount Global faces consumer boycott over ingredient sourcing policies,Paramount Global,irrelevant
CVS Health workers in Boston rally to demand paid family leave expansion,CVS Health,irrelevant
3M faces criticism from advocacy groups over overseas manufacturing practices,3M,irrelevant
