id,title,pos_score,neutral_score,neg_score,company_id,company_name,label,reason
3518753,"HBO Max, Amid Content Purge, Launches 30% Discount Offer",0.181174,0.724027,0.094799,55,AT&T,relevant,"The article is about HBO Max, which is a subsidiary of AT&T's WarnerMedia, launching a 30% discount offer amid a content purge."
6846195,Former Uber driver tries to blame 2016 shooting rampage on 'devil' app that 'literally took over mind and body' in never-before-seen interrogation tapes,0.002858,0.016898,0.980244,57,Uber,irrelevant,"The article is about a former Uber driver's interrogation tapes, which is an individual incident."
6676612,Former Oklahoma Senator Pleads Guilty to Uber Driver Assault,0.002301,0.028481,0.969217,57,Uber,irrelevant,"The article is about a former Oklahoma Senator's assault on an Uber driver, which is an individual incident."
3154762,Boeing will lose $20 billion because of Trump's Iran decision,0.006649,0.154399,0.838952,55,AT&T,irrelevant,"The article is about Boeing and its potential losses due to Trump's Iran decision, with no mention of AT&T."
6740660,Former taxi commissioner sees more cities adopting New York's tough rules on Uber and Lyft,0.058622,0.387476,0.553902,57,Uber,irrelevant,"The article is about the adoption of New York's rules on Uber and Lyft, but it's primarily about the regulatory trend, not Uber specifically."
8394842,22 Analysts Assess Visa: What You Need To Know,0.038363,0.88461,0.077027,14,Visa Inc.,relevant,"Article is about analyst assessments of Visa, which constitutes market analysis directly related to the company's stock."
510105,These Analysts Increase Their Forecasts On Walmart After Upbeat Earnings,0.325681,0.555513,0.118806,12,Walmart,relevant,"The article is about analysts increasing their forecasts on Walmart following its upbeat earnings, which directly relates to Walmart's financial performance and market outlook."
6278636,Food delivery business Pronto is shutting down as Amazon and Uber muscle in,0.089865,0.507013,0.403122,57,Uber,irrelevant,"The article is about the food delivery business Pronto shutting down, with Uber mentioned as a competitor, but not the primary subject."
6498088,"They dropped off a naked man on drugs at a Walmart because ‘it would be funny,’ police say",0.038071,0.821734,0.140196,12,Walmart,irrelevant,"The article describes a local incident involving individuals dropping off a man at a Walmart, which is an isolated event with no material impact on the company."
696616,21 Signs You Need A Vacation,0.064995,0.884326,0.050679,14,Visa Inc.,irrelevant,Lifestyle content about vacations with no connection to Visa Inc. as a company.
4366154,Microsoft confirms ‘S Mode’ will replace Windows 10 S,0.116738,0.864311,0.018951,3,Microsoft,relevant,Article is about Microsoft replacing Windows 10 S with 'S Mode'.
6644265,"Former Employee Sues Uber, Says It’s Spying On Customers",0.002005,0.011464,0.986532,57,Uber,relevant,"The article is about a former employee suing Uber for allegedly spying on customers, which is a corporate-level issue."
4761236,Microsoft contractors reportedly reviewed Cortana clips on insecure PCs,0.008151,0.354261,0.637588,3,Microsoft,relevant,Article discusses Microsoft contractors reviewing Cortana clips on insecure PCs.
1016992,21 Savageâ€™s Lawyers Gave A Major Update On The Rapperâ€™s Immigration Case,0.093863,0.870234,0.035902,14,Visa Inc.,irrelevant,"Legal update on rapper 21 Savage's immigration case, unrelated to Visa Inc."
457390,These are the 22 victims of the El Paso Walmart shooting,0.012551,0.866821,0.120628,12,Walmart,irrelevant,"The article is about the victims of a shooting at a Walmart, which is a tragic human incident but not a corporate-level event affecting Walmart's business operations or strategy."
3516341,"HBO Max 'skews male' and has 'appointment viewing,' while Discovery+ 'skews female' and has 'comfort viewing'. This graphic shows how the services differ ahead of their merging next summer.",0.266465,0.663537,0.069998,55,AT&T,relevant,"The article compares and contrasts HBO Max and Discovery+, both of which are related to AT&T's WarnerMedia."
6192204,Ken Bone sells out for Uber,0.014571,0.64357,0.34186,57,Uber,irrelevant,"The article is about Ken Bone selling out, with Uber being a secondary mention."
3533220,"Boxing’s 30 most desired fights in 2023, from Tyson Fury vs. Oleksandr Usyk to Errol Spence Jr. vs. Terence Crawford",0.202264,0.764328,0.033408,55,AT&T,irrelevant,"The article is about boxing and desired fights in 2023, with no mention of AT&T."
