id,title,pos_score,neutral_score,neg_score,company_id
3775153,How to get a job Instagramming for Netflix,0.118052,0.844479,0.037469,19
11523250,Apple AirPods and AirPods Pro Are on Sale,0.112376,0.836762,0.050861,2
11365114,Apple Watch 4 deal is the cheapest price ever now at Amazon in the Boxing Day sales,0.647496,0.291387,0.061117,2
3357612,FangDD Regains Compliance with Nasdaq Minimum Bid Price Requirement,0.333546,0.603762,0.062691,206
11589489,"Apple's stock reverses higher, as Needham cuts rating but remains bullish and boosts price target",0.298745,0.528029,0.173225,2
9639864,Who is right in the Abbott-versus-Turnbull policy wars?,0.130374,0.581662,0.287964,86
11613674,Apple holiday season tops projections as iPhone bounces back,0.738831,0.23857,0.022599,2
4165812,Exclusive Rights Disney Deal Is Big For Netflix,0.299912,0.676007,0.024081,19
3366766,Coinbase Crypto ‘Nightmare’ Is Just Beginning Amid Wild Bitcoin And Ethereum Price Swings,0.042151,0.761232,0.196617,206
3792217,Comcast-DreamWorks deal shaping up to be a match made in Hollywood heaven,0.482149,0.487439,0.030413,19
3784015,Netflix Lands Adam Wingard’s ‘Death Note’ Starring Nat Wolff,0.050546,0.915584,0.03387,19
3344639,Prologis Proposes Almost $24B Acquisition Deal For Duke Realty,0.110547,0.870811,0.018641,206
10246677,"Goldman Sachs portfolio sale includes Oak Creek, Milwaukee industrial buildings",0.094464,0.887854,0.017682,39
10249339,Why the Disney deal suggests the tax bill may mean little for the economy,0.039052,0.772324,0.188624,39
10299478,Judge rules against ex-Goldman employee in Fed leak case,0.002925,0.092734,0.904341,39
3357198,Brooklyn ImmunoTherapeutics Announces Receipt of Nasdaq Notification Regarding Minimum Bid Price Deficiency,0.071352,0.892228,0.03642,206
3344081,"Consumer price index, wholesale inventories, Disney earnings top week ahead",0.079053,0.914212,0.006735,206
2829850,"EMBARK TECHNOLOGY, INC. (NASDAQ: EMBK) SHAREHOLDER CLASS ACTION ALERT: Bernstein Liebhard LLP Announces that a Securities Class Action Lawsuit Has Been Filed Against Embark Technology, Inc. f/k/a Northern Genesis Acquisition Corp. II (NASDAQ: EMBK)",0.070987,0.824843,0.10417,206
9706085,"Tim Cook Is Wrong: The Problem For Apple Inc. (AAPL) In India Is Not LTE, It’s Price",0.007314,0.039242,0.953444,2
11360260,How to Watch Apple TV+ If You Haven't Got an Apple TV,0.033916,0.894018,0.072066,2
6948104,Uber passenger in Bloomington hit-and-run dies months after crash; nationwide warrant for suspect,0.002808,0.03257,0.964622,57
7079065,"Uber Gets 9% Price Target Boost From Wedbush After Investor Day, Ross Gerber Calls It 'Fire Breathing Dragon'",0.641682,0.220029,0.138288,57
7075943,Elon Musk's latest Tesla price cuts 'to unload inventory' are good news for car buyers but bad news for investors,0.042953,0.057736,0.899311,57
11356995,Best last-minute Beats Solo3 headphones deal on Amazon (UK deal),0.275955,0.689924,0.034121,2
7073594,‘Had a discount for THE PAST YEAR because of this’: Black Uber Customer Says She Uses 'White' Name To Get More Discounts,0.151096,0.539848,0.309056,57
6938577,Uber will soon offer WeRide robotaxis in Abu Dhabi,0.517964,0.46382,0.018216,57
3780558,Netflix Commissions Season Two of ‘Scrotal Recall’ (EXCLUSIVE),0.035603,0.947482,0.016915,19
11357497,"The Apple Watch Series 4 is $100 off at Best Buy, and it's still an excellent smartwatch",0.530265,0.360105,0.10963,2
9771559,Nest CEO flies coop 2 years after $3.2B sale to Google,0.081072,0.869143,0.049785,2
8867477,"Keith Emerson, of Emerson, Lake and Palmer rock band, dies at 71",0.054376,0.918471,0.027153,86
2827159,Here's How Much Intel CEO Pat Gelsinger Earned Versus Average Worker Compensation In 2021,0.067246,0.736751,0.196003,206
3798364,How the Comcast-DreamWorks deal came together so fast,0.261415,0.6928,0.045785,19
11351897,"Apple's AirPods are back in stock at Best Buy, and you can save $15 on a pair right now",0.61808,0.336972,0.044948,2
9768625,Death Threats Are A Thing at the Apple Store,0.032251,0.867078,0.100671,2
11601761,Netflix’s earnings: The price tag on global domination is getting clearer,0.261984,0.649514,0.088502,2
11613900,How to use an iTunes gift card to pay for an Apple Music subscription,0.104888,0.803275,0.091837,2
3350058,Tesla Stock Gains As Musk Closes Twitter Margin Loan; Jefferies Cuts Price Target,0.075719,0.813559,0.110722,206
8890483,"Keith Emerson of Emerson, Lake & Palmer dies at 71",0.034524,0.946295,0.019181,86
7004006,"Minnesota lawmakers reach deal to raise pay rate for Uber, Lyft drivers",0.342379,0.56967,0.087951,57
7076154,"Uber warning of 85% meal delivery hikes under Labor’s new laws shows gig workers are underpaid, experts say",0.087841,0.604779,0.30738,57
7082374,"Uber, Lyft drivers will soon be able to apply for settlement funds from historic lawsuit",0.099317,0.634982,0.265701,57
3784008,Death Note: Netflix Making Deal to Distribute Live-Action Movie From The Guest Director,0.079668,0.668535,0.251797,19
11365351,Apple & sweet potato latkes with hot honey mascarpone put a twist on a holiday classic,0.701456,0.230879,0.067665,2
2823930,"Google Settles Year Long Lawsuit With Current, Former Employees",0.014812,0.953222,0.031967,206
11363788,Apple iPhone 12 Features ‘Flat’ Sides In Leaked Mockup,0.01511,0.91268,0.07221,2
6939096,"Darden Restaurants Backs FY25 View As Q1 Profit Rises, But Misses View; In Deal With Uber; Stock Up",0.051767,0.45086,0.497373,57
8870257,Coroner: Keith Emerson’s death a suicide,0.01608,0.939707,0.044213,86
11570197,This weekend's best AirPods deals include the AirPods Pro on sale for $197 at Amazon,0.238736,0.72902,0.032244,2
11356946,"Guys and Dolls review – thrills and chaos in the giddy, gambling Big Apple",0.068894,0.427524,0.503582,2
10310394,"Apple Reaches Music Deal With Warner, Eyes Sony Pact",0.099883,0.885404,0.014713,39
3783458,Internet Dating and The Concept of Netflix and Chill,0.074798,0.818796,0.106406,19
7003933,Uber's and Lyft's ride-hailing deal with Minnesota comes at a cost,0.018927,0.154321,0.826752,57
11363609,Andrew Zimmern's Classic Apple Tarte Tatin is the Holiday Dessert of Our Dreams,0.327621,0.542712,0.129667,2
11357682,Apple Watch 5 is cheaper just in time for holiday shopping,0.45189,0.424379,0.123731,2
11589536,Cristiano Ronaldo was spotted listening to music on an iPod that Apple hasn't updated in almost 8 years,0.033795,0.708128,0.258077,2
3363791,So-Young Announces Receipt of Minimum Bid Price Notice from Nasdaq,0.037767,0.944732,0.017501,206
7078874,‘I think the lady set you up’: Instacart customer asked shopper to add Amazon gift card to her order. She got fired for fraud,0.003031,0.019587,0.977382,57
3786353,Uber will pay up in lawsuit; Netflix bumps up prices,0.014982,0.398763,0.586255,19
7034774,Apple AirTags can do more than find your keys. Here are some tips,0.463754,0.419425,0.116821,57
10189437,5 Biggest Price Target Changes For Friday,0.106736,0.86455,0.028715,39
7079470,Usher Forgets How to Roller Skate in Uber Eats Super Bowl Ad,0.074728,0.774075,0.151197,57
10255181,Goldman Sachs has struck a deal with Bloomberg to help its stock trading business,0.753874,0.231541,0.014585,39
11360841,"Hotline newsletter: ‘Preliminary’ talks with Apple about a media rights deal (sounds great, but the conference best be wary)",0.128196,0.814381,0.057424,2
3366678,Walmart warning sends US stock market tumbling,0.035887,0.74887,0.215243,206
6994976,NYC Uber driver says passenger pepper-sprayed him over skin color: ‘This is a hate crime’,0.007117,0.146303,0.84658,57
10192474,"Goldman, Nomura heeded warnings before Venezuela bond deal",0.425292,0.532123,0.042585,39
7004029,"DFLers say they’ve reached a deal on minimum wage for Uber, Lyft drivers",0.315592,0.575096,0.109312,57
3780124,Netflix Inks $90M Deal For Will Smith’s Fantasy Cop Thriller ‘Bright’,0.29346,0.651796,0.054744,19
7085640,CRM Stock Price | Salesforce Inc. Stock Quote (U.S.: NYSE),0.012019,0.978217,0.009764,57
7034170,Thomas & Uber Cup live stream 2024: how to watch badminton FREE online,0.062908,0.873621,0.063471,57
9703680,"Traders: How to play stumbles by Apple, Twitter",0.023978,0.292075,0.683948,2
3366698,Glory Star New Media Group Holdings Limited Regains Compliance with Nasdaq Minimum Bid Price Requirement,0.344428,0.612543,0.043029,206
7034756,Toyota has a Boeing-style situation on its hands with latest recall,0.046155,0.776996,0.176849,57
