title,company_name,label,source_type
Microsoft beats Amazon for Pentagon's $10 bln cloud computing contract,Microsoft,relevant,gold_manual
House Votes to Expand Legal Safeguards for LGBTQ People,AT&T,irrelevant,gold_manual
Frequent NSA collaborator AT&T is backing Apple in its fight against the FBI,AT&T,relevant,gold_manual
Intel officials warned well before Tower 22 attack of increased risks from drones,Intel,irrelevant,gold_manual
Microsoft brings 'Known Folder Migration' feature to OneDrive consumer users,Microsoft,irrelevant,gold_manual
Walmart To Ban Woman Caught On Viral Racist Rant Video,Walmart,irrelevant,gold_manual
Why did it take us messaging?': Louisiana woman books Airbnb in France. Then she learns what the owner did with the property,Airbnb,irrelevant,gold_manual
Halloween pet costumes at Walmart,Walmart,irrelevant,gold_manual
Uber driver charged with raping unconscious 17-year-old in Orange County,Uber,irrelevant,gold_manual
Airbnb asked to disclose data on 172 users so far this year,Airbnb,irrelevant,gold_manual
"Fore! Here Comes Tony Romo, The Golfer, Again.",AT&T,irrelevant,gold_manual
NY Post scorches ‘fake’ intel letter used to sink laptop story: ‘Actual disinfo operation’ helped Biden,Intel,irrelevant,gold_manual
Microsoft is allegedly creating a Slack competitor,Microsoft,irrelevant,gold_manual
13 ways to give the gift of Mackinac Island,Visa Inc.,irrelevant,gold_manual
Starbucks Just Revealed The Ideal Drink For Each Zodiac Sign,Starbucks,irrelevant,gold_manual
"Bank of America, M and others disclose gap between CEO and employee pay",Bank of America,irrelevant,gold_manual
"How Goldman Sachs, UBS, and more reacted to Walmart's $10 billion 'Black Swan' deal to sell Asda",Walmart,relevant,gold_manual
"Sean Hannity: If Walmart stops selling Confederate flags, they should stop selling rap music too",Walmart,irrelevant,gold_manual
Apple takes another step into Microsoft's core territory with Accenture deal,Microsoft,irrelevant,gold_manual
Harvey Weinstein Taps Trump’s Travel Ban for New ‘Lion’ Oscar Messaging,Visa Inc.,irrelevant,gold_manual
here's everything I'd buy at Walmart's Black Friday sale,Walmart,irrelevant,gold_manual
Microsoft just introduced an ambitious subscription plan that makes the Xbox the best deal in gaming,Microsoft,relevant,gold_manual
Intel’s Stock Stock Rallied 91% This Year. Here’s What Drives It Higher in 2024.,Intel,irrelevant,gold_manual
Shooting at Walmart in El Paso: multiple fatalities,Walmart,irrelevant,gold_manual
‘This is why I don’t like Goodwill’: Shopper finds Walmart clearance sweater tagged at $3. Then she sees how much Goodwill is selling it for,Walmart,irrelevant,gold_manual
GM Strike after a week: Sales hold up while parts shortages loom,General Motors,relevant,gold_manual
How grocery stores restock shelves in the age of coronavirus,Visa Inc.,irrelevant,gold_manual
"Uber, Private Ride Drivers to Sue Mayor of London for Discrimination",Uber,irrelevant,gold_manual
We talked to the execs behind Bloomberg's new data partnership with Goldman Sachs. Here's why they think it's a sign of Wall Street's future.,Goldman Sachs,relevant,gold_manual
Verizon accused of violating net neutrality rules by throttling video,AT&T,irrelevant,gold_manual
"EMMY® Winner Rushion McDonald Celebrates Five Years of Money Making Conversations Master Class, With Special Broadcast on September 27th",McDonald's,irrelevant,gold_manual
NYC becomes latest city to cut back on ties with Wells Fargo,Wells Fargo,relevant,gold_manual
Galaxy Z Flip 5G now up for preorder if you’d rather not wait for the Note 20,AT&T,irrelevant,gold_manual
Activists: 1st Amendment Rights Of Undocumented Immigrants Are Often Violated,Visa Inc.,irrelevant,gold_manual
"Samsung's Most Luxurious TV Is $2,500 Off at Walmart for Presidents Day",Walmart,irrelevant,gold_manual
U.S. detention of European and Canadian tourists creates fear over traveling to America,Visa Inc.,irrelevant,gold_manual
Visiongain Publishes Top 20 Connected Aircraft Companies 2020 Report,AT&T,irrelevant,gold_manual
"Sidecar – Uber, Lyft Competitor in Ride-Sharing – Goes Belly Up",Uber,irrelevant,gold_manual
His son was killed by the Mexican cartel. This father was faced with the decision: Move or die,Visa Inc.,irrelevant,gold_manual
Where to watch 49ers vs Dolphins game today: Free live stream,AT&T,irrelevant,gold_manual
The FCC OKs Streaming for Free—But Net Neutrality Will Pay,AT&T,irrelevant,gold_manual
‘This is a gut check time’: Dan Rather demands Congress make Trump’s intel fiasco their ‘top priority’,Intel,irrelevant,gold_manual
From Russia with love: Successful KHL season could relaunch Wideman's NHL career,Visa Inc.,irrelevant,gold_manual
"MetLife gets '26 WC final, USMNT kicks off in L.A.",AT&T,irrelevant,gold_manual
"Gugu Mbatha-Raw, Richard Madden to Star in Netflix Thriller ‘Trinity’",Netflix,irrelevant,gold_manual
"Spurs brace for red-hot Davis, Pelicans",AT&T,irrelevant,gold_manual
"Netflix's Grand, Daring, Maybe Crazy Plan to Conquer the World",Netflix,irrelevant,gold_manual
Lordstown shifts gear to shakier future after GM announcement,General Motors,irrelevant,gold_manual
Skillz Hires Airbnb Executive Ian Lee As CFO,Airbnb,irrelevant,gold_manual
Uber lawyer says class action trial in California could set a risky...,Uber,relevant,gold_manual
"Chobani partners with Airbnb, MasterCard to help end refugee crisis",Airbnb,irrelevant,gold_manual
"Democrats question TV carriers' decisions to host Fox, OAN and Newsmax, citing 'misinformation'",AT&T,irrelevant,gold_manual
Why Did Netflix Decide to Move Forward With a Final Season of House of Cards?,Netflix,irrelevant,gold_manual
