id,title,label,reason
7473667,"Tag Heuer, Intel Challenge Apple With Android Smartwatch",irrelevant,"Tag Heuer and Intel are the main subjects, not the company being compared to Apple"
308355,How Amazon's Bot Army Is Trouncing Walmart in E-Commerce Wars,irrelevant,"Article is primarily about Amazon, with Walmart as a comparison"
7123211,Home Depot hires Walmart delivery drivers to drop off paint and more to customers' doors,irrelevant,"Article is primarily about Home Depot, with Walmart mentioned as a source of delivery drivers"
6471461,Uber and Waymo reach settlement in blockbuster trade secrets trial,irrelevant,"Article is about Uber and Waymo, not directly related to any specific company in the list"
593108,Home of former K.C. Royals owner and Walmart CEO David Glass is listed for $3.85 million,irrelevant,"Article is about the home of a former Walmart CEO, but not about Walmart itself"
8506937,Wells Fargo's Sameer Samana: There's room for downside on U.S. yields,irrelevant,"Article is about Wells Fargo's analyst opinion on U.S. yields, not directly related to any company's business"
4498585,This Netflix Video Has All The 'Dating Around' Updates You've Been Waiting For,irrelevant,"Article is about a Netflix video, with no direct relation to Netflix's business"
304988,Here's why Walmart put an empty gift card in your online order without asking,relevant,Article is about Walmart's business practice of including empty gift cards in online orders
4522627,Tiffany Haddish to Produce Diverse Stand-Up Series For Netflix,irrelevant,"Article is about a Netflix series, with no direct relation to Netflix's business"
8351144,Wells Fargo’s Robo to Feature Human Advisors,irrelevant,"Article is about Wells Fargo's robo-advisor, but not directly related to any company's business"
3889303,An Accident Leaves a Boy With Techno-Superpowers in Netflix's iBoy,irrelevant,"Article is about a Netflix series, with no direct relation to Netflix's business"
544019,"Hit the Ground Running in 2025 with Walmart’s Sneaker Sale — Score Skechers, Reebok, and More from $10",irrelevant,"Article is a shopping guide, not directly related to Walmart's business"
4631456,"A Netflix series showcased a real-life hotline for detained immigrants, so ICE shut it down",irrelevant,"Article is about a Netflix series, with no direct relation to Netflix's business"
8407919,Wells Fargo shares hammered by investors after unprecedented punishment by Federal Reserve,irrelevant,"Article is about Wells Fargo, but not directly related to any company in the list being analyzed for relevance"
4430457,This New Netflix Animated Series Has A Hilarious Trailer With Major ’Broad City’ Vibes,irrelevant,"Article is about a Netflix series, with no direct relation to Netflix's business"
7765403,The Law Offices Of Frank R. Cruz Files Securities Fraud Lawsuit Against Intel Corporation (INTC),irrelevant,"Article is about a lawsuit against Intel, but not directly related to any company's business strategy"
7261901,Mexico president says he spoke with Walmart exec about lowering inflation on food products,relevant,Article is about Walmart's discussion with Mexico's president about lowering inflation on food products
6698952,Uber begins trialing e-bikes and bicycles rides in India,irrelevant,"Article is about Uber's business expansion, not directly related to any company in the list"
7168969,Morgan Stanley diversity disclosure — JPM axes some fees — Walmart litecoin hoax,irrelevant,"Article mentions Walmart, but is primarily about Morgan Stanley and JPM"
308204,Miami-Dade officer shot in Walmart parking lot; gunman killed in firefight,irrelevant,"Article is about an individual incident at a Walmart location, not directly related to Walmart's business"
4609922,Tiffany Haddish Hosting Netflix Stand-Up Comedy Series ‘They Ready’,irrelevant,"Article is about a Netflix series, with no direct relation to Netflix's business"
7467985,Testimony shows evidence of interference: Intel. member,irrelevant,"Article is not about Intel Corporation, but rather about intelligence"
7914290,The last generation: Intel has new labels for its next major CPU architecture,irrelevant,"Article is about Intel's CPU architecture, but not directly related to any company's business strategy"
3584532,Fans tailgating at Cowboys game on Thanksgiving,irrelevant,Article is not related to any company in the list
7894094,Swedish Intel Agent Gets Life For Spying For Russia,irrelevant,"Article is not related to Intel Corporation, but rather about a Swedish intelligence agent"
8431664,Wells Fargo’s (NYSE: WFC) ‘coolest exec’ leaves bank he helped shape in the online and mobile world,irrelevant,"Article is about Wells Fargo, but not directly related to any company in the list being analyzed for relevance"
8316167,Wells Fargo's Fake Account Scandal: CEO Vows to 'Make it Right' but Doesn't Explain How,irrelevant,"Article is about Wells Fargo, but not directly related to any company in the list being analyzed for relevance"
8375146,Wells Fargo's Sameer Samana: We continue to be on solid footing,irrelevant,"Article is about Wells Fargo, but not directly related to any company in the list being analyzed for relevance"
113978,Homeland: The Game Board Game for $13 + pickup at Walmart,irrelevant,"Article is a shopping guide, not directly related to Walmart's business"
7799007,"Stocks making the biggest moves after hours: Snap, Intel, Chipotle and more",irrelevant,"Article mentions Intel, but is primarily about stocks making big moves after hours"
8612502,Wells Fargo settles $37 million suit over defrauding of small and medium businesses,irrelevant,"Article is about Wells Fargo, but not directly related to any company in the list being analyzed for relevance"
3700173,Angelina Jolie Pitt is directing a Netflix movie set in Cambodia,irrelevant,"Article is about a Netflix movie, with no direct relation to Netflix's business"
4749973,This Twisty Netflix True Crime Series Is Now Living Rent-Free Inside My Head,irrelevant,"Article is about a Netflix series, with no direct relation to Netflix's business"
8410489,"Wells Fargo sends 38,000 erroneous letters in auto flub",irrelevant,"Article is about Wells Fargo, but not directly related to any company in the list being analyzed for relevance"
3417662,"Fans or not, NFL braces for new stadium feel, sudden changes",irrelevant,Article is not related to any company in the list
7330109,How DOJ made different death penalty decisions in the Pittsburgh synagogue and Texas Walmart massacres,irrelevant,"Article mentions Walmart, but is primarily about the DOJ's death penalty decisions"
4228240,A Netflix experiment gives deserving comics their 15 minutes,irrelevant,"Article is about a Netflix experiment, with no direct relation to Netflix's business"
3369932,FanDuel promo code for NBA Cup Final: Last shot at NBA League Pass and $150 bonus,irrelevant,Article is not related to any company in the list
6515069,How the Cutthroat Walmart Business Model Is Reshaping American Public Education,irrelevant,"Article is about the impact of Walmart's business model, but not directly related to Walmart's business strategy"
141821,Men try to steal hundreds in razor blades from Tampa-area Walmart,irrelevant,"Article is about an individual incident at a Walmart location, not directly related to Walmart's business"
6550680,Uber applies for patent that would detect drunk passengers,irrelevant,"Article is about Uber, not directly related to any company in the list"
8324055,"Wells Fargo scandal 'makes a case' for CFPB and its work, says congresswoman",irrelevant,"Article is about Wells Fargo, but not directly related to any company in the list being analyzed for relevance"
353561,Michigan State Police investigating hit-and-run of 8-year-old girl in Walmart parking lot,irrelevant,"Article is about an individual incident at a Walmart location, not directly related to Walmart's business"
7177279,MoneyWatch: Winter heating costs expected to drop; Walmart to cut health coverage,relevant,Article is about Walmart's decision to cut health coverage
4532198,"Amy Poehler, Maya Rudolph visit 'Wine Country' in Netflix promo photos",irrelevant,"Article is about a Netflix series, with no direct relation to Netflix's business"
4774205,"Tom Burke, Steve Coogan, Hayley Squires, Charlotte Ritchie Board Netflix Drug Gang Drama ‘Legends’",irrelevant,"Article is about a Netflix series, with no direct relation to Netflix's business"
6248535,​Uber attempts to fine Palaszczuk after drivers rack up AU$786k worth of penalties,irrelevant,"Article is about Uber, not directly related to any company in the list"
8324190,Wells Fargo's CEO admits to Congress that his bank was stealing people’s money,irrelevant,"Article is about Wells Fargo, but not directly related to any company in the list being analyzed for relevance"
4858238,Anker Nebula Cosmos 4K SE Review: Bring Your Own Netflix,irrelevant,"Article is about a product review, mentioning Netflix as a potential use case"
2959031,Facebook’s Huge Plan to Shake Up Dull World of Telecoms,irrelevant,Article is not related to any company in the list
8489423,Wells Fargo separates CEO and chair jobs,relevant,Wells Fargo separates CEO and chair jobs — corporate governance change
604178,Missouri Man Charged With Making a 'Terrorist Threat' After Licking Items at a Walmart,irrelevant,"Individual incident at a Walmart store — non-material, local event"
3345677,"Falcons 2025 preseason schedule: Dates, times for all three games",irrelevant,Sports team's game schedule — unrelated to any company
7709304,"""Spies Who Lie"": Intel experts who 'debunked' Hunter Biden laptop story suddenly quiet for some reason",irrelevant,Article about Intel experts and a political story — not about a company's business
8577120,Wells Fargo's profit rises 4.5 pct,relevant,Wells Fargo's profit rises — direct financial result
4433524,This Quiz Will Determine Which Netflix Show Matches Your Personality,irrelevant,"Quiz about Netflix shows — consumer content, not business news"
6853926,He was shot 5 times at the El Paso Walmart and spent 2 months at hospitals. This is his fight to get back his life,irrelevant,"Personal story about a Walmart customer — individual incident, non-material"
6775375,High Schoolers Who Work At Walmart Will See A New Perk — SAT And ACT Study Help,relevant,Walmart offers new employee perk — company-level benefit announcement
7401365,The Note: Trump's Intelligence Showdown Over Russia,irrelevant,"Political article mentioning no specific company — macro context, not business news"
532941,"How Black entrepreneurs in Atlanta are responding to DEI cuts at Target, Walmart and other stores",irrelevant,Article about entrepreneurs and DEI cuts at multiple stores — company is one example in a broader piece
236128,"He stole a BB gun from Walmart, cops say. Then they looked in his car.",irrelevant,"Individual incident at a Walmart store — non-material, local event"
7237983,"Missed Prime Day? Great deals on Apple Watch, Galaxy Tab, more at Walmart",irrelevant,"Shopping guide listing Walmart deals — affiliate content, not business news"
6410627,Home Depot offsets Walmart; American Apparel faces bankruptcy,relevant,Home Depot offsets Walmart — comparison of company performances
8482732,Wells Fargo’s interim CEO faces hecklers’ shouts of ‘frauds’,relevant,"Wells Fargo's interim CEO faces hecklers — executive scandal, corporate response"
8271213,Wells Fargo's Fraud And Why Big Banks Keep Getting Away With Bad Behavior,relevant,Wells Fargo's fraud and regulatory issues — corporate-level regulatory action
6635374,Uber and Volvo are upping their self-driving car agreement,irrelevant,Uber and Volvo partnership — article primarily about another company
7825953,The Best Intel Gaming Laptops,irrelevant,"Product review of Intel gaming laptops — consumer content, not business news"
67704,Hernando's first Walmart Neighborhood Markets promises some uniq,irrelevant,"Local Walmart store opening — individual incident, non-material"
7828823,Surface Laptop 4 could come with both Intel and AMD processors,irrelevant,"Product rumor about Surface Laptop — consumer tech, not business news"
7323001,The Intel Smart Clip knows if you leave your baby in the car,irrelevant,"Product announcement from Intel — consumer tech, not business news"
6248384,"Uber appeals PUC's record fine, offers more data",irrelevant,Uber appeals fine — article primarily about another company
7031193,Uber Bans Racist DC Karen After Viral Of White Woman Goes Viral,irrelevant,"Uber bans a customer — individual incident, non-material"
4087166,And Another One: New Dave Chappelle Netflix Special ‘The Bird Revelation’ to Join ‘Equanimity’ on Dec. 31,irrelevant,"Netflix show announcement — consumer content, not business news"
174347,"How Katrina Changed Walmart — CEO Daily, Wednesday 22nd November",relevant,How Katrina changed Walmart — company-level response to a significant event
3004307,Facebook Wants to Bring “Free” Internet to the U.S.,irrelevant,Facebook's initiative — article primarily about another company
6992001,Uber asks U.S. CDC to consider ride-hail drivers essential for COVID-19 vaccine distribution,irrelevant,Uber asks CDC for consideration — article primarily about another company
7796109,"The Intel Core Ultra 5 245K, a budget CPU, blows past more expensive chips in new multi-core benchmark score leaks",irrelevant,"Intel product benchmark — consumer tech, not business news"
6394167,Uber banned from operating in Czech Republic’s number 2 city,irrelevant,Uber banned from operating in a city — article primarily about another company
8330919,Wells Fargo scandal: Elizabeth Warren wants answers,relevant,Wells Fargo scandal and Elizabeth Warren's response — corporate-level regulatory action
584914,"Holiday Shopping on a Budget? Walmart Has Gifts Under $50 from Lego, Owala, and More",irrelevant,"Holiday shopping guide at Walmart — affiliate content, not business news"
8345639,Wells Fargo settles for $2.64M in employee OT suit,relevant,Wells Fargo settles employee OT suit — corporate-level legal settlement
7123290,Home Depot teams up with Walmart's delivery service,relevant,Home Depot teams up with Walmart's delivery service — major partnership announcement
8271481,Wells Fargo's earnings drop as bank begins to face fallout from fake-accounts scandal,relevant,Wells Fargo's earnings drop due to scandal — direct financial result
7312794,Here’s where Chesapeake Walmart lawsuits stand as the site of November shooting reopens,irrelevant,"Local incident at a Walmart store — individual incident, non-material"
7443438,The Olympics' VR aspirations will be powered by Intel tech,irrelevant,"Intel tech used in Olympics — article primarily about an event, not a company"
6493112,Mom charged after boy's teeth pulled in Walmart restroom,irrelevant,"Individual incident at a Walmart store — non-material, local event"
3304474,"Fairbanks Pickup Driver Strikes Sign, Carries It for Miles",irrelevant,Unrelated incident — no company mentioned
2956144,Fans come to ogle celebrities and Pebble Beach real estate,irrelevant,Unrelated event — no company mentioned
481626,"'Hey Siri, Buy My Groceries At Walmart' Is Now A Real Thing",relevant,Walmart integrates with Siri for grocery shopping — company-level tech integration
6911755,"Meta ends diversity programs, joining McDonald's, Walmart and other major companies to back off DEI",irrelevant,"Meta ends diversity programs, mentioning Walmart — company is one example in a broader piece"
6817433,Uber and Waymo start the countdown for Austin launch next month,irrelevant,Uber and Waymo partnership — article primarily about another company
4806326,‘American Primeval’ Review: Netflix’s Violent Western Plays Like a Masochistic Binge,irrelevant,"Netflix show review — consumer content, not business news"
514452,"Milwaukee Portable Power Station price slashed by nearly $300 at Walmart, beating Home Depot’s price",irrelevant,"Product price comparison at Walmart — affiliate content, not business news"
6989513,Uber Announces Date Of Fourth Quarter And Full Year 2020 Results Conference Call,irrelevant,Uber announces earnings call — article primarily about another company
8422512,Wells Fargo shares rise after earnings top Wall Street estimates,relevant,Wells Fargo shares rise after earnings top estimates — direct financial result
4126693,This Netflix Show's Cast Got A Crash Course In '90s Pop Culture — For Work,irrelevant,"Netflix show cast — consumer content, not business news"
4042728,"Toni Collette to star in new Netflix, BBC series",irrelevant,"Netflix show announcement — consumer content, not business news"
4574050,Annecy: Netflix Premieres Footage from First Original Animated Feature 'Klaus' In Innovative 2D,irrelevant,"Netflix show announcement — consumer content, not business news"
2887610,"Fanatics Sportsbook promo code: Get up to $2,000 No Sweat Bets for Cardinals-Cowboys on Monday Night Football",irrelevant,Unrelated sports promo — no company mentioned
4337357,Anna Camp Reacts to 2025 Emmys Nomination Snub for Netflix's You,irrelevant,"Netflix show nomination — consumer content, not business news"
6469528,Hours-old infant found in time after a woman left her in a Walmart bathroom trash can,irrelevant,"Individual incident at Walmart, not about the company's business"
7358223,"Swiss watch maker Tag Heuer unveils $1,500 luxury smartwatch with Google, Intel",relevant,"Tag Heuer unveils new luxury smartwatch, a major product launch"
8512178,Wells Fargo's profit climbs 19%,relevant,"Wells Fargo's profit climbs 19%, a direct financial result"
4706049,'Anne With an E' to End After Season 3 Debuts on Netflix,irrelevant,"Article about Netflix show, not about the company's business"
417693,"Men swiped keys from St. Paul woman’s walker at Walmart then stole her car and burglarized her apartment, charges say",irrelevant,"Individual incident at Walmart, not about the company's business"
3016078,Facebook Inc (FB) Looks to College Students to Help Block Extremism,relevant,"Facebook looks to college students to help block extremism, a corporate action"
506261,"Middle managers, beware: The Great Flattening layoff trend has moved beyond Big Tech and into retailers like Walmart",irrelevant,"Article mentions Walmart as an example, not the primary subject"
8544829,Wells Fargo's regulatory burden eases further as CFPB terminates 2022 punishment,relevant,"Wells Fargo's regulatory burden eases, a corporate-level regulatory action"
4156237,Amy Poehler Is Making A Netflix Movie With Your Favorite 'SNL' Women & We're Not Worthy,irrelevant,"Article about Netflix movie, not about the company's business"
6538397,Here's what North Carolinians bought most from Walmart.com this year,irrelevant,"Article about Walmart.com sales, a consumer-focused piece"
3379265,Fantasy Baseball Offseason Tracker: Marcell Ozuna replaces Josh Donaldson as Braves cleanup hitter,irrelevant,"Article about fantasy baseball, not related to any company"
7465704,The House Intelligence Committee Requests All Comey Tapes From Trump,irrelevant,"Article about politics, not related to any company"
514524,"He’s been in jail for 43 days, accused of trying to abduct a kid at Walmart. His lawyer argues video shows he’s innocent",irrelevant,"Individual incident at Walmart, not about the company's business"
4730316,An Adam Sandler Comedy Is The Most Popular Netflix Movie Of 2019,irrelevant,"Article about Netflix movie, not about the company's business"
8434608,Wells Fargo settles retail sales lawsuit for $142 million,relevant,"Wells Fargo settles retail sales lawsuit, a corporate-level legal action"
8271284,Wells Fargo shares move higher after John Stumpf steps down,relevant,"Wells Fargo shares move higher after CEO steps down, a corporate action"
4141119,"Analyst increases Netflix international subscriber expectations, ups price target to $400",relevant,"Analyst increases Netflix international subscriber expectations, an analyst action on Netflix"
7542474,"Summit takeaways: Trump doubts intel, plays trusted friend",irrelevant,"Article about politics, not related to any company"
4331466,Analysts expect Netflix's price hikes and ad tier to fuel a record quarter,relevant,"Analysts expect Netflix's price hikes to fuel a record quarter, an analyst action on Netflix"
3004100,Failure of FARC peace deal vote leaves Colombia in flux,irrelevant,"Article about politics, not related to any company"
6402650,"Uber, beset by scandal, faces battle over 'destructive' lawsuit",relevant,"Uber faces battle over lawsuit, a corporate-level legal action"
7318863,How to save $170 off a Dyson V8 cordless vacuum at Walmart,irrelevant,"Article about saving money on a product at Walmart, a consumer-focused piece"
4004236,Amy Schumer Insisted Netflix Up Her Pay After Learning Male Comedians' Salaries,relevant,"Amy Schumer insisted Netflix up her pay, a contract negotiation with Netflix"
533177,"Higher egg prices drove up inflation, and Walmart grocery revenue",irrelevant,"Article mentions Walmart as an example, not the primary subject"
7244614,Hot dogs vs deli meat; rising costs shape choices at Walmart,irrelevant,"Article about consumer choices at Walmart, a consumer-focused piece"
3115432,"Fans spot Tim Duncan at Spurs game, and social media jokes erupt",irrelevant,"Article about sports, not related to any company"
8562249,Wells Fargo's CEO is planning a major corporate restructure,relevant,"Wells Fargo's CEO plans a major corporate restructure, a corporate action"
4609820,‘Anna Delvey’ Might Not Profit From Netflix Series on Her Life as a Fake Heiress,irrelevant,"Article about Netflix series, not about the company's business"
8446457,Wells Fargo settlement reveals just how aggressive the bank was in making shoddy mortgages in run-up to financial crisis,relevant,"Wells Fargo settlement reveals aggressive mortgage practices, a corporate-level legal action"
