title,company_name,label,source_type
$5M lawsuit alleges Walmart gender pay gap allegations,Walmart,irrelevant,synthetic
Meta in early talks about potential Canada partnership — no deal imminent,Meta,irrelevant,synthetic
900 AbbVie workers lose jobs in latest round of cost-cutting,AbbVie,relevant,synthetic
Filing reveals Lyft has acquired 7% of Walmart,Lyft,relevant,synthetic
Germany threatens to restrict US visa access in retaliation,Visa,irrelevant,synthetic
Kraft Heinz says it was 'too slow' to address medical device airbag malfunction,Kraft Heinz,relevant,synthetic
Student visa subpoenas alarm Japan universities,Visa,irrelevant,synthetic
Dollar General loses semiconductor revenue lead to Samsung amid pricing pressure,Dollar General,relevant,synthetic
Walmart threat prompts cable industry to lobby for protection,Walmart,irrelevant,synthetic
"Charles Schwab's Q2: better than feared, outlook encouraging",Charles Schwab,relevant,synthetic
UnitedHealth says it was 'too slow' to address Model 3 software glitch causing crashes,UnitedHealth,relevant,synthetic
"Linda Davis leaves Walmart, ending speculation about CEO succession",Walmart,relevant,synthetic
Republic Services launches new app and dark mode in Poland,Republic Services,irrelevant,synthetic
PepsiCo unit sales miss as ByteDance captures 30% of market,PepsiCo,relevant,synthetic
Nashville officials celebrate as United Airlines selects site for new data center,United Airlines,irrelevant,synthetic
"Honeywell's Q3: better than feared, outlook encouraging",Honeywell,relevant,synthetic
UnitedHealth employees say they feel betrayed as 3000 layoffs gut entire departments,UnitedHealth,relevant,synthetic
"Johnson & Johnson weighing options to expand into Poland market, sources say",Johnson & Johnson,irrelevant,synthetic
"Disney exploring potential sale of industrial unit, people familiar say",Disney,irrelevant,synthetic
Travelers announces $10M donation to support climate action,Travelers,irrelevant,synthetic
Verizon recruits Mark Jones from Goldman Sachs as head of sustainability,Verizon,irrelevant,synthetic
Honeywell rolls out personalized feed in France ahead of broader rollout,Honeywell,irrelevant,synthetic
Qualcomm's Upcoming Earnings: Will the Stock React?,Qualcomm,irrelevant,synthetic
Kimberly-Clark CEO admits blood glucose monitor has structural integrity issues,Kimberly-Clark,relevant,synthetic
Home Depot acknowledges medical device defect after 5000 customer complaints,Home Depot,relevant,synthetic
Lockheed Martin CEO says company is 'open to' exploring streaming content opportunities,Lockheed Martin,irrelevant,synthetic
Tennessee lands Lockheed Martin investment worth $100M in local economy,Lockheed Martin,irrelevant,synthetic
US tightens visa rules for South Korea nationals over security concerns,Visa,irrelevant,synthetic
$10M lawsuit alleges Vanguard gender pay gap allegations,Vanguard,irrelevant,synthetic
Investors dump brick-and-mortar retail stocks on fears of Eli Lilly disruption,Eli Lilly,irrelevant,synthetic
Tesla delivers solid close to 2019 as cash flow beats consensus,Tesla,relevant,synthetic
Goldman Sachs adds real-time tracking to its Japan platform,Goldman Sachs,irrelevant,synthetic
Qualcomm admits knowing about flagship phone door latch defect before public reports,Qualcomm,relevant,synthetic
"Travelers acknowledges emissions control failure in cardiac device, promises fix within 8 weeks",Travelers,relevant,synthetic
EU visa-free travel for Japan under review after border incidents,Visa,irrelevant,synthetic
Could Flipkart be the Vietnam version of Microsoft?,Microsoft,irrelevant,synthetic
Schlumberger CEO admits Model 3 has door latch defect,Schlumberger,relevant,synthetic
Visa backlog hits Spain workers applying for H-1B transfers,Visa,irrelevant,synthetic
Morgan Stanley appoints Karen Williams to newly created head of supply chain analytics position,Morgan Stanley,irrelevant,synthetic
Netflix promotes Patricia Harris to regional vice president for Europe,Netflix,irrelevant,synthetic
"Boeing's Q1: better than feared, outlook encouraging",Boeing,relevant,synthetic
The retail banking industry's answer to the Alphabet challenge,Alphabet,irrelevant,synthetic
Meet South Korea's answer to JPMorgan Chase — and why it's growing fast,JPMorgan Chase,irrelevant,synthetic
Local suppliers cheer BlackRock's new production deal as Columbus gains,BlackRock,irrelevant,synthetic
3M tests voice search in Atlanta starting this month,3M,irrelevant,synthetic
Waste Management Foundation launches $10M initiative for veterans support,Waste Management,irrelevant,synthetic
Sources: Netflix weighing a spinoff but no decision expected soon,Netflix,irrelevant,synthetic
The retail banking industry's answer to the Qualcomm challenge,Qualcomm,irrelevant,synthetic
JPMorgan Chase workforce reduced by 2000 as restructuring accelerates,JPMorgan Chase,relevant,synthetic
Robinhood launches tokenized fund on blockchain for institutional investors,Robinhood,relevant,synthetic
Bank of America's charitable arm commits to $5M veterans support pledge,Bank of America,irrelevant,synthetic
